Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of COVID-19 Deaths,Flag
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,103,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,360,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,1107,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,2205,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,2815,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,3052,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,Not stated,1,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,9679,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,51,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,119,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,261,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,640,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,1481,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,2512,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,2800,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,3313,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",Not stated,0,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,11177,
10/4/2020,2/1/2020,10/3/2020,US,Sepsis,Sepsis,A40-A41,0-24,45,
10/4/2020,2/1/2020,10/3/2020,US,Sepsis,Sepsis,A40-A41,25-34,172,
10/4/2020,2/1/2020,10/3/2020,US,Sepsis,Sepsis,A40-A41,35-44,454,
10/4/2020,2/1/2020,10/3/2020,US,Sepsis,Sepsis,A40-A41,45-54,1377,
10/4/2020,2/1/2020,10/3/2020,US,Sepsis,Sepsis,A40-A41,55-64,3211,
10/4/2020,2/1/2020,10/3/2020,US,Sepsis,Sepsis,A40-A41,65-74,5082,
10/4/2020,2/1/2020,10/3/2020,US,Sepsis,Sepsis,A40-A41,75-84,4581,
10/4/2020,2/1/2020,10/3/2020,US,Sepsis,Sepsis,A40-A41,85+,3371,
10/4/2020,2/1/2020,10/3/2020,US,Sepsis,Sepsis,A40-A41,Not stated,0,
10/4/2020,2/1/2020,10/3/2020,US,Sepsis,Sepsis,A40-A41,All Ages,18293,
10/4/2020,2/1/2020,10/3/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,32,
10/4/2020,2/1/2020,10/3/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,41,
10/4/2020,2/1/2020,10/3/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,125,
10/4/2020,2/1/2020,10/3/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,350,
10/4/2020,2/1/2020,10/3/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,1248,
10/4/2020,2/1/2020,10/3/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,2393,
10/4/2020,2/1/2020,10/3/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,2730,
10/4/2020,2/1/2020,10/3/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,2229,
10/4/2020,2/1/2020,10/3/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,Not stated,0,
10/4/2020,2/1/2020,10/3/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,9148,
10/4/2020,2/1/2020,10/3/2020,US,Diabetes,Diabetes,E10-E14,0-24,54,
10/4/2020,2/1/2020,10/3/2020,US,Diabetes,Diabetes,E10-E14,25-34,210,
10/4/2020,2/1/2020,10/3/2020,US,Diabetes,Diabetes,E10-E14,35-44,742,
10/4/2020,2/1/2020,10/3/2020,US,Diabetes,Diabetes,E10-E14,45-54,2224,
10/4/2020,2/1/2020,10/3/2020,US,Diabetes,Diabetes,E10-E14,55-64,5387,
10/4/2020,2/1/2020,10/3/2020,US,Diabetes,Diabetes,E10-E14,65-74,8776,
10/4/2020,2/1/2020,10/3/2020,US,Diabetes,Diabetes,E10-E14,75-84,8622,
10/4/2020,2/1/2020,10/3/2020,US,Diabetes,Diabetes,E10-E14,85+,6357,
10/4/2020,2/1/2020,10/3/2020,US,Diabetes,Diabetes,E10-E14,Not stated,0,
10/4/2020,2/1/2020,10/3/2020,US,Diabetes,Diabetes,E10-E14,All Ages,32372,
10/4/2020,2/1/2020,10/3/2020,US,Obesity,Obesity,E65-E68,0-24,98,
10/4/2020,2/1/2020,10/3/2020,US,Obesity,Obesity,E65-E68,25-34,352,
10/4/2020,2/1/2020,10/3/2020,US,Obesity,Obesity,E65-E68,35-44,793,
10/4/2020,2/1/2020,10/3/2020,US,Obesity,Obesity,E65-E68,45-54,1299,
10/4/2020,2/1/2020,10/3/2020,US,Obesity,Obesity,E65-E68,55-64,1866,
10/4/2020,2/1/2020,10/3/2020,US,Obesity,Obesity,E65-E68,65-74,1804,
10/4/2020,2/1/2020,10/3/2020,US,Obesity,Obesity,E65-E68,75-84,926,
10/4/2020,2/1/2020,10/3/2020,US,Obesity,Obesity,E65-E68,85+,262,
10/4/2020,2/1/2020,10/3/2020,US,Obesity,Obesity,E65-E68,Not stated,0,
10/4/2020,2/1/2020,10/3/2020,US,Obesity,Obesity,E65-E68,All Ages,7400,
10/4/2020,2/1/2020,10/3/2020,US,Alzheimer disease,Alzheimer disease,G30,0-24,0,
10/4/2020,2/1/2020,10/3/2020,US,Alzheimer disease,Alzheimer disease,G30,25-34,0,
10/4/2020,2/1/2020,10/3/2020,US,Alzheimer disease,Alzheimer disease,G30,35-44,0,
10/4/2020,2/1/2020,10/3/2020,US,Alzheimer disease,Alzheimer disease,G30,45-54,2,
10/4/2020,2/1/2020,10/3/2020,US,Alzheimer disease,Alzheimer disease,G30,55-64,61,
10/4/2020,2/1/2020,10/3/2020,US,Alzheimer disease,Alzheimer disease,G30,65-74,473,
10/4/2020,2/1/2020,10/3/2020,US,Alzheimer disease,Alzheimer disease,G30,75-84,2104,
10/4/2020,2/1/2020,10/3/2020,US,Alzheimer disease,Alzheimer disease,G30,85+,4457,
10/4/2020,2/1/2020,10/3/2020,US,Alzheimer disease,Alzheimer disease,G30,Not stated,0,
10/4/2020,2/1/2020,10/3/2020,US,Alzheimer disease,Alzheimer disease,G30,All Ages,7097,
10/4/2020,2/1/2020,10/3/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",0-24,0,
10/4/2020,2/1/2020,10/3/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",25-34,0,
10/4/2020,2/1/2020,10/3/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",35-44,2,
10/4/2020,2/1/2020,10/3/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",45-54,24,
10/4/2020,2/1/2020,10/3/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",55-64,338,
10/4/2020,2/1/2020,10/3/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",65-74,2087,
10/4/2020,2/1/2020,10/3/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",75-84,6607,
10/4/2020,2/1/2020,10/3/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,13134,
10/4/2020,2/1/2020,10/3/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,
10/4/2020,2/1/2020,10/3/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,22192,
10/4/2020,2/1/2020,10/3/2020,US,Renal failure,Renal failure,N17-N19,0-24,23,
10/4/2020,2/1/2020,10/3/2020,US,Renal failure,Renal failure,N17-N19,25-34,143,
10/4/2020,2/1/2020,10/3/2020,US,Renal failure,Renal failure,N17-N19,35-44,371,
10/4/2020,2/1/2020,10/3/2020,US,Renal failure,Renal failure,N17-N19,45-54,1141,
10/4/2020,2/1/2020,10/3/2020,US,Renal failure,Renal failure,N17-N19,55-64,2696,
10/4/2020,2/1/2020,10/3/2020,US,Renal failure,Renal failure,N17-N19,65-74,4565,
10/4/2020,2/1/2020,10/3/2020,US,Renal failure,Renal failure,N17-N19,75-84,4592,
10/4/2020,2/1/2020,10/3/2020,US,Renal failure,Renal failure,N17-N19,85+,4032,
10/4/2020,2/1/2020,10/3/2020,US,Renal failure,Renal failure,N17-N19,Not stated,2,
10/4/2020,2/1/2020,10/3/2020,US,Renal failure,Renal failure,N17-N19,All Ages,17565,
10/4/2020,2/1/2020,10/3/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0-24,52,
10/4/2020,2/1/2020,10/3/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",25-34,185,
10/4/2020,2/1/2020,10/3/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",35-44,249,
10/4/2020,2/1/2020,10/3/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",45-54,415,
10/4/2020,2/1/2020,10/3/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",55-64,805,
10/4/2020,2/1/2020,10/3/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",65-74,1295,
10/4/2020,2/1/2020,10/3/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",75-84,1600,
10/4/2020,2/1/2020,10/3/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",85+,2058,
10/4/2020,2/1/2020,10/3/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",Not stated,0,
10/4/2020,2/1/2020,10/3/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All Ages,6659,
10/4/2020,2/1/2020,10/3/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,334,
10/4/2020,2/1/2020,10/3/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",25-34,910,
10/4/2020,2/1/2020,10/3/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",35-44,2050,
10/4/2020,2/1/2020,10/3/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",45-54,5486,
10/4/2020,2/1/2020,10/3/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",55-64,13525,
10/4/2020,2/1/2020,10/3/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",65-74,23309,
